Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
HarmonyOS,https://github.com/Awesome-HarmonyOS/HarmonyOS,master,18900,A curated list of awesome things related to HarmonyOS. 华为鸿蒙操作系统。,2023-11-22T09:15:11Z
Tasmota,https://github.com/arendst/Tasmota,development,20601,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",2023-11-22T05:15:27Z
zstd,https://github.com/facebook/zstd,dev,21234,Zstandard - Fast real-time compression algorithm,2023-11-22T09:20:00Z
nginx,https://github.com/nginx/nginx,master,19357,"An official read-only mirror of http://hg.nginx.org/nginx/ which is updated hourly. Pull requests on GitHub cannot be accepted and will be automatically closed. The proper way to submit changes to nginx is via the nginx development mailing list, see http://nginx.org/en/docs/contributing_changes.html",2023-11-22T09:22:46Z
radare2,https://github.com/radareorg/radare2,master,18871,UNIX-like reverse engineering framework and command-line toolset,2023-11-22T01:22:40Z
mimikatz,https://github.com/gentilkiwi/mimikatz,master,18048,A little tool to play with Windows security,2023-11-22T08:48:35Z
hashcat,https://github.com/hashcat/hashcat,master,18703,World's fastest and most advanced password recovery utility,2023-11-22T09:30:29Z
bcc,https://github.com/iovisor/bcc,master,18393,"BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more",2023-11-22T09:42:20Z
micropython,https://github.com/micropython/micropython,master,17506,MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems,2023-11-22T10:20:42Z
goaccess,https://github.com/allinurl/goaccess,master,16869,GoAccess is a real-time web log analyzer and interactive viewer that runs in a terminal in *nix systems or through your browser.,2023-11-22T06:39:41Z
nnn,https://github.com/jarun/nnn,master,17354,n³ The unorthodox terminal file manager,2023-11-22T08:28:53Z
C,https://github.com/TheAlgorithms/C,master,17259,"Collection of various algorithms in mathematics, machine learning, computer science, physics, etc implemented in C for educational purposes.",2023-11-22T09:59:33Z
timescaledb,https://github.com/timescale/timescaledb,main,15807,An open-source time-series SQL database optimized for fast ingest and complex queries.  Packaged as a PostgreSQL extension.,2023-11-22T09:28:22Z
qmk_firmware,https://github.com/qmk/qmk_firmware,master,16177,Open-source keyboard firmware for Atmel AVR and Arm USB families,2023-11-22T10:39:14Z
nuklear,https://github.com/vurtun/nuklear,master,13587,A single-header ANSI C gui library,2023-11-21T06:44:31Z
Mailspring,https://github.com/Foundry376/Mailspring,master,14632,":love_letter: A beautiful, fast and fully open source mail client for Mac, Windows and Linux.",2023-11-22T10:08:40Z
yabai,https://github.com/koekeishiya/yabai,master,18862,A tiling window manager for macOS based on binary space partitioning,2023-11-22T03:25:17Z
openwrt,https://github.com/openwrt/openwrt,main,16745,This repository is a mirror of https://git.openwrt.org/openwrt/openwrt.git It is for reference only and is not active for check-ins.  We will continue to accept Pull Requests here. They will be merged via staging trees then into openwrt.git.,2023-11-22T06:21:55Z
ish,https://github.com/ish-app/ish,master,15121,Linux shell for iOS,2023-11-22T10:19:16Z
open-gpu-kernel-modules,https://github.com/NVIDIA/open-gpu-kernel-modules,main,13495,NVIDIA Linux open GPU kernel module source,2023-11-22T09:48:28Z
memcached,https://github.com/memcached/memcached,master,12887,memcached development tree,2023-11-20T18:11:01Z
nginx-rtmp-module,https://github.com/arut/nginx-rtmp-module,master,12882,NGINX-based Media Streaming Server,2023-11-22T10:32:11Z
