Repository Name,Repository URL,Default Branch,Star Count,Description,Update_date
webgl-noise,https://github.com/ashima/webgl-noise,master,2616,Procedural Noise Shader Routines compatible with WebGL,2023-11-21T16:50:49Z
packr,https://github.com/libgdx/packr,master,2507,"Packages your JAR, assets and a JVM for distribution on Windows, Linux and Mac OS X",2023-11-20T14:16:44Z
patchelf,https://github.com/NixOS/patchelf,master,3029,A small utility to modify the dynamic linker and RPATH of ELF executables,2023-11-22T05:51:49Z
pafish,https://github.com/a0rtega/pafish,master,2921,Pafish is a testing tool that uses different techniques to detect virtual machines and malware analysis environments in the same way that malware families do,2023-11-21T14:08:01Z
Remotery,https://github.com/Celtoys/Remotery,main,2620,"Single C file, Realtime CPU/GPU Profiler with Remote Web Viewer",2023-11-22T04:44:00Z
gnucash,https://github.com/Gnucash/gnucash,stable,2824,GnuCash Double-Entry Accounting Program.,2023-11-22T09:04:17Z
tsar,https://github.com/alibaba/tsar,master,2449,Taobao System Activity Reporter,2023-11-20T21:36:25Z
mpc,https://github.com/orangeduck/mpc,master,2547,A Parser Combinator library for C,2023-11-21T10:36:35Z
minix,https://github.com/Stichting-MINIX-Research-Foundation/minix,master,2698,Official MINIX sources - Automatically replicated from gerrit.minix3.org,2023-11-22T01:47:23Z
sysstat,https://github.com/sysstat/sysstat,master,2756,Performance monitoring tools for Linux,2023-11-22T05:52:05Z
obs-ndi,https://github.com/Palakis/obs-ndi,master,2841,NewTek NDI integration for OBS Studio,2023-11-20T21:41:16Z
lightning,https://github.com/ElementsProject/lightning,master,2670,Core Lightning — Lightning Network implementation focusing on spec compliance and performance,2023-11-21T22:12:47Z
ZBar,https://github.com/ZBar/ZBar,master,2425,Clone of the mercurial repository http://zbar.hg.sourceforge.net:8000/hgroot/zbar/zbar,2023-11-21T08:20:38Z
WebBench,https://github.com/EZLippi/WebBench,master,2567,Webbench是Radim Kolar在1997年写的一个在linux下使用的非常简单的网站压测工具。它使用fork()模拟多个客户端同时访问我们设定的URL，测试网站在压力下工作的性能，最多可以模拟3万个并发连接去测试网站的负载能力。官网地址:http://home.tiscali.cz/~cz210552/webbench.html,2023-11-22T02:33:12Z
u2f-zero,https://github.com/conorpp/u2f-zero,master,2375,"U2F USB token optimized for physical security, affordability, and style",2023-11-15T07:36:10Z
npcap,https://github.com/nmap/npcap,master,2711,Nmap Project's Windows packet capture and transmission library,2023-11-22T06:07:13Z
lwip,https://github.com/EyalAr/lwip,master,2356,Light Weight Image Processor for NodeJS,2023-11-19T16:19:57Z
tmux-MacOSX-pasteboard,https://github.com/ChrisJohnsen/tmux-MacOSX-pasteboard,master,2357,Notes and workarounds for accessing the Mac OS X pasteboard in tmux sessions. Note: The pu branch (“Proposed Updates”) may be rewound without notice.,2023-11-15T04:49:47Z
waifu2x-ncnn-vulkan,https://github.com/nihui/waifu2x-ncnn-vulkan,master,2804,"waifu2x converter ncnn version, runs fast on intel / amd / nvidia / apple-silicon GPU with vulkan",2023-11-22T05:45:30Z
frr,https://github.com/FRRouting/frr,master,2788,The FRRouting Protocol Suite,2023-11-22T07:55:09Z
mongoose-os,https://github.com/cesanta/mongoose-os,master,2426,"Mongoose OS - an IoT Firmware Development Framework. Supported microcontrollers: ESP32, ESP8266, CC3220, CC3200, STM32F4, STM32L4, STM32F7. Amazon AWS IoT, Microsoft Azure, Google IoT Core integrated. Code in C or JavaScript.",2023-11-22T05:09:38Z
chia-plotter,https://github.com/madMAx43v3r/chia-plotter,master,2306,,2023-11-02T00:39:38Z
PF_RING,https://github.com/ntop/PF_RING,dev,2513,High-speed packet processing framework,2023-11-21T17:57:14Z
axel,https://github.com/axel-download-accelerator/axel,master,2673,Lightweight CLI download accelerator,2023-11-21T09:34:56Z
annotated_redis_source,https://github.com/huangz1990/annotated_redis_source,unstable,2324,带有详细注释的 Redis 2.6 源码,2023-11-21T08:00:02Z
nginx-http-flv-module,https://github.com/winshining/nginx-http-flv-module,master,2581,"A media streaming server based on nginx-rtmp-module. In addtion to the features nginx-rtmp-module provides, HTTP-FLV, GOP cache, VHost (one IP for multi domain names) and JSON style statistics are supported now.",2023-11-20T00:55:52Z
permafrost-engine,https://github.com/eduard-permyakov/permafrost-engine,master,2542,An OpenGL RTS game engine written in C,2023-11-22T03:05:06Z
Arduino_STM32,https://github.com/rogerclarkmelbourne/Arduino_STM32,master,2445,"Arduino STM32. Hardware files to support STM32 boards, on Arduino IDE 1.8.x including LeafLabs Maple and other generic STM32F103 boards",2023-11-18T12:46:28Z
box86,https://github.com/ptitSeb/box86,master,2858,"Box86 - Linux Userspace x86 Emulator with a twist, targeted at ARM Linux devices",2023-11-20T09:57:30Z
ostep-code,https://github.com/remzi-arpacidusseau/ostep-code,master,2919,Code from various chapters in OSTEP (http://www.ostep.org),2023-11-21T19:15:23Z
goxel,https://github.com/guillaumechereau/goxel,master,2561,Goxel: Free and Open Source 3D Voxel Editor ,2023-11-20T12:21:03Z
simple-obfs,https://github.com/shadowsocks/simple-obfs,master,2339,A simple obfuscating tool (Deprecated),2023-11-21T14:03:49Z
MemoryModule,https://github.com/fancycode/MemoryModule,master,2595,Library to load a DLL from memory.,2023-11-15T11:00:11Z
sl4a,https://github.com/damonkohler/sl4a,master,2372,SL4A brings scripting languages to Android by allowing you to edit and execute scripts and interactive interpreters directly on the Android device.,2023-11-21T10:26:49Z
clamav,https://github.com/Cisco-Talos/clamav,main,3342,ClamAV - Documentation is here: https://docs.clamav.net,2023-11-22T10:37:21Z
raspi3-tutorial,https://github.com/bztsrc/raspi3-tutorial,master,2549,Bare metal Raspberry Pi 3 tutorials,2023-11-22T01:30:16Z
wine,https://github.com/wine-mirror/wine,master,2703,,2023-11-22T09:47:06Z
sxhkd,https://github.com/baskerville/sxhkd,master,2591,Simple X hotkey daemon,2023-11-22T04:10:11Z
donut,https://github.com/TheWover/donut,master,2976,"Generates x86, x64, or AMD64+x86 position-independent shellcode that loads .NET Assemblies, PE files, and other Windows payloads from memory and runs them with parameters",2023-11-21T12:04:18Z
OpenSimpleLidar,https://github.com/iliasam/OpenSimpleLidar,master,2335,Open Source scanning laser rangefinder,2023-11-21T01:08:38Z
CreepyCodeCollection,https://github.com/MinhasKamal/CreepyCodeCollection,master,2328,A Nonsense Collection of Disgusting Codes,2023-11-16T11:11:49Z
memreduct,https://github.com/henrypp/memreduct,master,4015,Lightweight real-time memory management application to monitor and clean system memory on your computer.,2023-11-22T08:06:27Z
guacamole-server,https://github.com/apache/guacamole-server,master,2687,Mirror of Apache Guacamole Server,2023-11-22T08:55:34Z
swift-corelibs-libdispatch,https://github.com/apple/swift-corelibs-libdispatch,main,2371,"The libdispatch Project, (a.k.a. Grand Central Dispatch), for concurrency on multicore hardware",2023-11-21T09:41:07Z
media-server,https://github.com/ireader/media-server,master,2733,RTSP/RTP/RTMP/FLV/HLS/MPEG-TS/MPEG-PS/MPEG-DASH/MP4/fMP4/MKV/WebM,2023-11-21T10:24:20Z
tvheadend,https://github.com/tvheadend/tvheadend,master,2542,"Tvheadend is a TV streaming server for Linux supporting DVB-S, DVB-S2, DVB-C, DVB-T, ATSC, IPTV,SAT>IP and other formats through the unix pipe as input sources.",2023-11-22T04:04:50Z
yyjson,https://github.com/ibireme/yyjson,master,2662,The fastest JSON library in C,2023-11-21T16:33:29Z
wireguard-monolithic-historical,https://github.com/WireGuard/wireguard-monolithic-historical,master,2289,"Historical monolithic WireGuard repository, split into wireguard-tools, wireguard-linux, and wireguard-linux-compat.",2023-11-15T13:35:43Z
surge,https://github.com/surge-synthesizer/surge,main,2720,Synthesizer plug-in (previously released as Vember Audio Surge),2023-11-22T10:03:05Z
Goldleaf,https://github.com/XorTroll/Goldleaf,master,2474,🍂 Multipurpose homebrew tool for Nintendo Switch,2023-11-21T01:38:06Z
enet,https://github.com/lsalzman/enet,master,2481,ENet reliable UDP networking library ,2023-11-22T02:40:43Z
netcode,https://github.com/networkprotocol/netcode,master,2314,A protocol for secure client/server connections over UDP,2023-11-21T06:22:31Z
rosenbridge,https://github.com/xoreaxeaxeax/rosenbridge,master,2300,Hardware backdoors in some x86 CPUs,2023-11-21T08:52:46Z
ShiYanLou,https://github.com/Ewenwan/ShiYanLou,master,2582,学习C & C++ & python&汇编语言 LLVM编译器 数据结构 算法 操作系统 单片机  linux  面试,2023-11-20T11:35:02Z
uftrace,https://github.com/namhyung/uftrace,master,2661,Function graph tracer for C/C++/Rust/Python,2023-11-22T08:45:13Z
hidapi,https://github.com/signal11/hidapi,master,2347,"A Simple library for communicating with USB and Bluetooth HID devices on Linux, Mac, and Windows.",2023-11-21T20:01:00Z
neural-redis,https://github.com/antirez/neural-redis,master,2219,Neural networks module for Redis,2023-11-21T01:19:58Z
spdk,https://github.com/spdk/spdk,master,2639,Storage Performance Development Kit,2023-11-20T11:21:34Z
tcpkali,https://github.com/satori-com/tcpkali,master,2263,Fast multi-core TCP and WebSockets load generator.,2023-11-16T15:07:18Z
civetweb,https://github.com/civetweb/civetweb,master,2551,Embedded C/C++ web server,2023-11-21T07:21:38Z
jsmpeg-vnc,https://github.com/phoboslab/jsmpeg-vnc,master,2308,"A low latency, high framerate screen sharing server for Windows and client for browsers",2023-11-20T03:25:46Z
httrack,https://github.com/xroche/httrack,master,2731,"HTTrack Website Copier, copy websites to your computer (Official repository)",2023-11-21T12:46:47Z
glb-director,https://github.com/github/glb-director,master,2290,GitHub Load Balancer Director and supporting tooling.,2023-11-20T11:57:05Z
fftw3,https://github.com/FFTW/fftw3,master,2478,DO NOT CHECK OUT THESE FILES FROM GITHUB UNLESS YOU KNOW WHAT YOU ARE DOING. (See below.),2023-11-22T07:35:41Z
Kernelhub,https://github.com/Ascotbe/Kernelhub,master,2719,":palm_tree:Linux、macOS、Windows Kernel privilege escalation vulnerability collection, with compilation environment, demo GIF map, vulnerability details, executable file  (提权漏洞合集) ",2023-11-22T06:55:03Z
yojimbo,https://github.com/networkprotocol/yojimbo,master,2319,A network library for client/server games written in C++,2023-11-19T13:43:26Z
inav,https://github.com/iNavFlight/inav,master,2616,INAV: Navigation-enabled flight control software,2023-11-22T08:56:56Z
sniproxy,https://github.com/dlundquist/sniproxy,master,2404,Proxies incoming HTTP and TLS connections based on the hostname contained in the initial request of the TCP session.,2023-11-22T04:52:47Z
vifm,https://github.com/vifm/vifm,master,2514,"Vifm is a file manager with curses interface, which provides Vim-like environment for managing objects within file systems, extended with some useful ideas from mutt.",2023-11-22T01:55:28Z
DBProxy,https://github.com/Meituan-Dianping/DBProxy,master,2228,,2023-11-17T01:24:55Z
ZQCNN,https://github.com/zuoqing1988/ZQCNN,master,2203,一款推理框架，同时有很多有用的demo，觉得好用请点星啊,2023-11-17T14:15:59Z
rugged,https://github.com/libgit2/rugged,master,2222,ruby bindings to libgit2,2023-11-18T03:53:46Z
compton,https://github.com/chjj/compton,master,2226,A compositor for X11.,2023-11-21T00:30:19Z
Quake-2,https://github.com/id-Software/Quake-2,master,2546,Quake 2 GPL Source Release,2023-11-19T22:32:51Z
libfaketime,https://github.com/wolfcw/libfaketime,master,2430,libfaketime modifies the system time for a single application,2023-11-21T15:56:23Z
net-speeder,https://github.com/snooda/net-speeder,master,2164,net-speeder 在高延迟不稳定链路上优化单线程下载速度 ,2023-11-17T10:36:41Z
glew,https://github.com/nigels-com/glew,master,2424,The OpenGL Extension Wrangler Library,2023-11-22T06:58:59Z
TFT_eSPI,https://github.com/Bodmer/TFT_eSPI,master,3004,"Arduino and PlatformIO IDE compatible TFT library optimised for the Raspberry Pi Pico (RP2040), STM32, ESP8266 and ESP32 that supports different driver chips",2023-11-21T16:27:41Z
coroutine,https://github.com/cloudwu/coroutine,master,2330,A asymmetric coroutine library for C.,2023-11-21T03:00:04Z
pycryptodome,https://github.com/Legrandin/pycryptodome,master,2526,A self-contained cryptographic library for Python,2023-11-22T07:28:20Z
nginx-push-stream-module,https://github.com/wandenberg/nginx-push-stream-module,master,2195,A pure stream http push technology for your Nginx setup. Comet made easy and really scalable.,2023-11-17T09:58:09Z
blackmagic,https://github.com/blackmagic-debug/blackmagic,main,2833,In application debugger for ARM Cortex microcontrollers.,2023-11-21T12:39:54Z
panda,https://github.com/panda-re/panda,dev,2347,Platform for Architecture-Neutral Dynamic Analysis,2023-11-18T08:54:39Z
rawdrawandroid,https://github.com/cnlohr/rawdrawandroid,master,2455,"Build android apps without any java, entirely in C and Make",2023-11-21T22:35:04Z
NetHack,https://github.com/NetHack/NetHack,NetHack-3.7,2515,Official NetHack Git Repository,2023-11-22T06:28:06Z
fsearch,https://github.com/cboxdoerfer/fsearch,master,2603,A fast file search utility for Unix-like systems based on GTK3,2023-11-22T08:49:08Z
EpMedia,https://github.com/yangjie10930/EpMedia,master,2300,"Android上基于FFmpeg开发的视频处理框架，简单易用，体积小，帮助使用者快速实现视频处理功能。包含以下功能：剪辑，裁剪，旋转，镜像，合并，分离，变速，添加LOGO，添加滤镜，添加背景音乐，加速减速视频，倒放音视频。 The video processing framework based on FFmpeg developed on Android is simple, easy to use, and small in size, helping users quickly realize video processing functions. Contains the following functions: editing, cropping, rotating, mirroring, merging, separating, variable speed, adding LOGO, adding filters, adding background music, accelerating and decelerating video, rewinding audio and video.",2023-11-21T18:08:29Z
bdwgc,https://github.com/ivmai/bdwgc,master,2614,"The Boehm-Demers-Weiser conservative C/C++ Garbage Collector (bdwgc, also known as bdw-gc, boehm-gc, libgc)",2023-11-21T17:36:28Z
way-cooler,https://github.com/way-cooler/way-cooler,master,2142,Wayland compositor for AwesomeWM,2023-11-18T21:30:02Z
OSCPRepo,https://github.com/rewardone/OSCPRepo,master,2386,"A list of commands, scripts, resources, and more that I have gathered and attempted to consolidate for use as OSCP (and more) study material. Commands in 'Usefulcommands' Keepnote. Bookmarks and reading material in 'BookmarkList' CherryTree. Reconscan Py2 and Py3. Custom ISO building.",2023-11-20T16:48:01Z
earth-reverse-engineering,https://github.com/retroplasma/earth-reverse-engineering,master,2216,Reversing Google's 3D satellite mode,2023-11-20T21:42:58Z
solo1,https://github.com/solokeys/solo1,master,2242,Solo 1 firmware in C,2023-11-22T03:56:03Z
dynamorio,https://github.com/DynamoRIO/dynamorio,master,2416,Dynamic Instrumentation Tool Platform,2023-11-22T09:23:55Z
xdotool,https://github.com/jordansissel/xdotool,master,2832,"fake keyboard/mouse input, window management, and more ",2023-11-20T14:45:14Z
PongoOS,https://github.com/checkra1n/PongoOS,master,2377,pongoOS,2023-11-21T00:27:15Z
sleuthkit,https://github.com/sleuthkit/sleuthkit,develop,2382,The Sleuth Kit® (TSK) is a library and collection of command line digital forensics tools that allow you to investigate volume and file system data. The library can be incorporated into larger digital forensics tools and the command line tools can be directly used to find evidence. ,2023-11-21T01:34:32Z
hashcat-legacy,https://github.com/hashcat/hashcat-legacy,master,2130,Advanced CPU-based password recovery utility,2023-11-09T22:01:06Z
ck,https://github.com/concurrencykit/ck,master,2247,"Concurrency primitives, safe memory reclamation mechanisms and non-blocking (including lock-free) data structures designed to aid in the research, design and implementation of high performance concurrent systems developed in C99+.",2023-11-18T16:34:23Z
libqrencode,https://github.com/fukuchi/libqrencode,master,2338,A fast and compact QR Code encoding library,2023-11-18T11:33:34Z
darkforestGo,https://github.com/facebookresearch/darkforestGo,master,2107,"DarkForest, the Facebook Go engine.",2023-11-21T00:03:34Z
displayplacer,https://github.com/jakehilborn/displayplacer,master,3307,macOS command line utility to configure multi-display resolutions and arrangements. Essentially XRandR for macOS.,2023-11-21T15:14:39Z
pigz,https://github.com/madler/pigz,master,2453,"A parallel implementation of gzip for modern multi-processor, multi-core machines.",2023-11-21T19:37:44Z
level-ip,https://github.com/saminiir/level-ip,master,2390,A hacker's userspace TCP/IP stack,2023-11-20T07:21:59Z
dpdk,https://github.com/DPDK/dpdk,main,2770,Data Plane Development Kit,2023-11-22T07:26:26Z
